Entry Time,Exit Time,Gross,Lane,Lot,Rate,Ticket,Transaction Number
10/2/2010 19:19,5/3/2011 13:00,"$2,047.00 ",10,7,4,15237,122852
11/19/2010 14:31,3/23/2011 9:22,"$1,196.00 ",10,7,4,24201,115145
11/19/2010 14:31,3/23/2011 9:23,"$1,196.00 ",10,7,4,24201,115148
11/20/2010 8:42,1/1/2011 0:32,$378.00 ,18,8,3,4236,35414
11/20/2010 8:42,1/1/2011 0:32,$378.00 ,18,8,3,4236,35415
11/25/2010 9:28,2/25/2011 10:16,$891.00 ,9,7,4,0,1671
12/16/2010 14:19,1/7/2011 14:21,$133.00 ,43,15,1,65666,16221
12/16/2010 14:19,1/19/2011 13:35,$204.00 ,43,15,1,65666,16940
12/31/2010 7:56,1/1/2011 1:12,$9.00 ,21,8,3,43382,154
12/31/2010 9:10,1/1/2011 3:20,$9.00 ,27,2,6,5905,350
12/31/2010 9:50,1/1/2011 2:01,$9.00 ,27,2,6,5919,316
12/31/2010 9:53,1/1/2011 0:06,$9.00 ,14,8,3,24876,3460
12/31/2010 9:53,1/1/2011 2:02,$9.00 ,27,2,6,5920,319
12/31/2010 9:59,1/1/2011 2:08,$9.00 ,27,2,6,5921,322
12/31/2010 10:14,1/1/2011 4:20,$15.00 ,24,6,2,38155,220
12/31/2010 10:20,1/1/2011 0:51,$14.00 ,23,4,1,74926,162
12/31/2010 10:51,1/1/2011 0:44,$9.00 ,14,8,3,7995,3474
12/31/2010 10:51,1/1/2011 1:45,$9.00 ,27,2,6,5936,303
12/31/2010 10:51,1/1/2011 2:42,$6.00 ,44,15,1,67322,37168
12/31/2010 10:51,1/1/2011 2:43,$6.00 ,44,15,1,67321,37169
12/31/2010 10:52,1/1/2011 1:46,$6.00 ,43,15,1,67323,15904
12/31/2010 11:01,1/1/2011 3:09,$9.00 ,20,8,3,24900,315
12/31/2010 11:32,1/1/2011 3:07,$9.00 ,27,2,6,5945,347
12/31/2010 11:37,1/1/2011 1:56,$9.00 ,27,2,6,5948,310
12/31/2010 12:10,1/1/2011 0:29,$9.00 ,14,8,3,7999,3470
12/31/2010 12:18,1/1/2011 5:02,$15.00 ,24,6,2,19699,227
12/31/2010 12:51,1/1/2011 4:46,$6.00 ,44,15,1,67335,37176
12/31/2010 13:23,1/1/2011 0:53,$9.00 ,20,8,3,24951,217
12/31/2010 13:29,1/1/2011 1:00,$9.00 ,27,2,6,5978,270
12/31/2010 13:30,1/1/2011 0:23,$9.00 ,27,2,6,5981,258
12/31/2010 13:38,1/1/2011 0:47,$10.00 ,24,6,2,38174,183
12/31/2010 13:42,1/1/2011 4:35,$10.00 ,46,17,2,14834,191
12/31/2010 13:46,1/1/2011 4:55,$11.00 ,47,17,2,14835,192
12/31/2010 14:03,1/1/2011 4:50,$11.00 ,46,17,2,14837,193
12/31/2010 14:04,1/1/2011 4:29,$10.00 ,20,8,3,8008,325
12/31/2010 14:07,1/1/2011 3:16,$9.00 ,27,2,6,5988,349
12/31/2010 14:17,1/1/2011 0:47,$13.00 ,23,4,1,75048,160
12/31/2010 14:19,1/1/2011 5:03,$11.00 ,27,2,6,5994,361
12/31/2010 14:25,1/1/2011 1:19,$9.00 ,21,8,3,8011,156
12/31/2010 14:30,1/1/2011 0:56,$6.00 ,43,15,1,67337,15892
12/31/2010 14:31,1/1/2011 11:28,$16.00 ,27,2,6,5997,376
12/31/2010 14:36,1/1/2011 0:54,$8.00 ,24,6,2,19714,189
12/31/2010 14:39,1/1/2011 0:13,$9.00 ,27,2,6,6000,257
12/31/2010 14:42,1/1/2011 0:50,$8.00 ,24,6,2,19716,184
12/31/2010 14:43,1/1/2011 0:18,$9.00 ,4,2,6,6004,48237
12/31/2010 14:53,1/1/2011 10:53,$18.00 ,20,8,3,8014,329
12/31/2010 14:58,1/1/2011 4:31,$8.00 ,24,6,2,19717,224
12/31/2010 15:00,1/1/2011 3:24,$9.00 ,27,2,6,6009,352
12/31/2010 15:10,1/1/2011 3:02,$9.00 ,20,8,3,8019,312
12/31/2010 15:12,1/1/2011 2:04,$9.00 ,27,2,6,6013,320
12/31/2010 15:14,1/1/2011 0:32,$7.00 ,24,6,2,19719,169
12/31/2010 15:15,1/1/2011 11:00,$16.00 ,27,2,6,6014,374
12/31/2010 15:18,1/1/2011 2:26,$10.00 ,28,5,5,24543,149
12/31/2010 15:25,1/1/2011 0:26,$9.00 ,18,8,3,24976,35411
12/31/2010 15:27,1/1/2011 4:23,$10.00 ,21,8,3,8027,195
12/31/2010 15:30,1/1/2011 0:14,$9.00 ,18,8,3,24979,35406
12/31/2010 15:30,1/1/2011 0:29,$9.00 ,14,8,3,8030,3469
12/31/2010 15:31,1/1/2011 0:09,$9.00 ,14,8,3,43427,3462
12/31/2010 15:32,1/1/2011 5:06,$12.00 ,20,8,3,24981,326
12/31/2010 15:36,1/1/2011 2:26,$6.00 ,24,6,2,19722,209
12/31/2010 15:37,1/1/2011 1:38,$6.00 ,24,6,2,19723,197
12/31/2010 15:38,1/1/2011 0:41,$6.00 ,24,6,2,19724,181
12/31/2010 15:39,1/1/2011 0:05,$9.00 ,4,2,6,6022,48225
12/31/2010 15:40,1/1/2011 5:02,$8.00 ,24,6,2,19725,226
12/31/2010 15:42,1/1/2011 0:37,$9.00 ,14,8,3,8036,3473
12/31/2010 15:43,1/1/2011 0:21,$9.00 ,18,8,3,24985,35409
12/31/2010 15:43,1/1/2011 5:58,$13.00 ,20,8,3,24984,328
12/31/2010 15:44,1/1/2011 0:38,$9.00 ,27,2,6,6023,260
12/31/2010 15:45,1/1/2011 0:37,$9.00 ,27,2,6,6024,259
12/31/2010 15:45,1/1/2011 1:42,$6.00 ,24,6,2,19726,200
12/31/2010 15:47,1/1/2011 0:03,$9.00 ,27,2,6,6029,254
12/31/2010 15:48,1/1/2011 0:16,$9.00 ,14,8,3,8044,3466
12/31/2010 15:48,1/1/2011 3:40,$9.00 ,20,8,3,24986,318
12/31/2010 15:49,1/1/2011 0:16,$9.00 ,4,2,6,6031,48234
12/31/2010 15:49,1/1/2011 0:18,$9.00 ,4,2,6,6030,48236
12/31/2010 15:50,1/1/2011 2:01,$9.00 ,27,2,6,6033,318
12/31/2010 15:52,1/1/2011 2:38,$9.00 ,27,2,6,6035,337
12/31/2010 15:53,1/1/2011 0:00,$10.00 ,17,4,1,75068,1940
12/31/2010 15:56,1/1/2011 0:09,$9.00 ,18,8,3,43428,35403
12/31/2010 15:56,1/1/2011 3:16,$10.00 ,23,4,1,75069,218
12/31/2010 15:57,1/1/2011 0:53,$9.00 ,4,2,6,6038,48244
12/31/2010 15:57,1/1/2011 1:03,$10.00 ,29,5,5,24547,103
12/31/2010 15:58,1/1/2011 4:19,$6.00 ,24,6,2,19728,219
12/31/2010 15:59,1/1/2011 1:07,$9.00 ,27,2,6,6040,274
12/31/2010 16:00,1/1/2011 0:08,$9.00 ,14,8,3,8047,3461
12/31/2010 16:00,1/1/2011 12:01,$18.00 ,20,8,3,8048,3
12/31/2010 16:01,1/1/2011 3:32,$6.00 ,43,15,1,67345,15913
12/31/2010 16:03,1/1/2011 4:17,$6.00 ,24,6,2,38178,217
12/31/2010 16:04,1/1/2011 3:21,$9.00 ,27,2,6,6044,351
12/31/2010 16:06,1/1/2011 1:31,$9.00 ,29,5,5,89854,106
12/31/2010 16:08,1/1/2011 0:54,$9.00 ,20,8,3,24990,219
12/31/2010 16:08,1/1/2011 1:57,$9.00 ,21,8,3,8057,183
12/31/2010 16:09,1/1/2011 1:13,$9.00 ,23,4,1,75076,174
12/31/2010 16:09,1/1/2011 1:47,$9.00 ,27,2,6,6052,305
12/31/2010 16:10,1/1/2011 2:58,$9.00 ,27,2,6,6054,344
12/31/2010 16:11,1/1/2011 1:05,$9.00 ,23,4,1,75081,171
12/31/2010 16:11,1/1/2011 10:15,$16.00 ,27,2,6,6056,367
12/31/2010 16:12,1/1/2011 0:58,$9.00 ,21,8,3,8063,151
12/31/2010 16:14,1/1/2011 0:12,$9.00 ,18,8,3,8065,35405
12/31/2010 16:14,1/1/2011 0:46,$9.00 ,22,4,1,75082,190
12/31/2010 16:14,1/1/2011 4:16,$5.00 ,24,6,2,19729,216
12/31/2010 16:15,1/1/2011 0:15,$9.00 ,4,2,6,6060,48233
12/31/2010 16:17,1/1/2011 0:20,$9.00 ,4,2,6,6061,48239
12/31/2010 16:18,1/1/2011 2:14,$9.00 ,27,2,6,6063,325
12/31/2010 16:22,1/1/2011 1:02,$0.00 ,28,5,7,0,144
12/31/2010 16:23,1/1/2011 2:57,$9.00 ,20,8,3,8074,310
